"german";"lm01";"lm19";"lm21";"lm14";"lm36";"la01";"id02";"id01";"mi05";"mi06";"mi07";"mi08";"mi09";"mi10";"mi11";"sex";"age";"agec";"dg10";"lp03";"lp04";"lp05";"lp06";"vm08";"vm09";"vm10";"vm11";"vm12";"vm14";"vm15";"st01";"cf03";"im17";"im18";"im19";"im20";"im21";"iw04";"pd11";"pi01";"pa02a";"pa01";"ca01";"ca02";"ca03";"ca04";"ca05";"ca06";"ca07";"ca08";"ca09";"ca10";"ca11";"ca25";"ca26";"ca27";"ca28";"ca29";"ca30";"ca15";"ca16";"ca17";"ca18";"ca34";"ca31";"cs01";"cs02";"cs03";"cs04";"cs05";"cs06";"cs08";"cs09";"cp01";"cp02";"cp03";"cp04";"ca22";"ca23";"ca32";"ca33";"educ";"de06";"de07";"de08";"de09";"de10";"de12";"de11";"de13";"de14";"de15";"de16";"de05";"isced97";"iscd11";"work";"eseg";"hs01";"lp09";"lp10";"lp11";"lp12";"rd01";"rp01";"mstat";"df44";"dh04";"dh09";"aq01";"xh03";"gs01";"pn12";"pn16";"sm03";"ls01";"gkpol"
1;2;1;1;1;1;3;2;3;1;1;2;1;1;1;1;2;54;3;"Alte BL";1;2;1;1;2;3;2;3;3;3;2;3;3;2;1;4;3;4;1;2;1;3;4;1;1;2;2;2;3;2;1;1;1;1;1;1;3;2;4;3;1;2;1;1;1;1;1;1;1;1;1;2;2;2;4;2;4;3;2;1;1;4;5;0;0;1;1;0;0;0;1;0;0;0;0;5;5;1;71;4;3;4;4;3;1;4;5;1;1;1;4;2;4;3;2;2;8;3
1;5;1;2;0.5;1;4;4;3;2;1;2;2;2;2;2;1;53;3;"Alte BL";2;2;2;2;2;3;1;3;3;3;3;1;3;4;4;1;3;3;4;1;1;1;6;1;1;1;3;1;2;2;1;1;1;1;1;1;4;3;5;5;1;1;2;1;1;1;2;1;1;1;2;2;2;2;3;2;2;3;1;1;1;2;5;0;0;0;1;0;0;0;0;0;1;0;0;5;6;1;23;3;4;4;4;4;1;6;5;1;1;1;7;1;3;1;1;2;10;3
1;3;1;2;0.5;2;2;3;3;1;1;1;1;1;1;1;2;31;2;"Alte BL";2;2;1;1;1;1;1;1;1;1;1;3;4;2;2;3;3;3;2;2;1;2;3;2;2;4;4;2;3;3;1;2;2;1;2;2;3;2;3;3;1;2;2;1;1;2;4;1;2;1;1;2;2;2;2;2;2;3;3;2;4;1;5;0;0;0;0;0;0;0;0;0;1;0;0;6;8;2;25;1;3;2;2;3;6;5;5;2;3;2;4;2;1;2;3;2;7;6
1;7;1;1;0;3;2;3;1;2;1;3;1;1;2;2;2;57;3;"Neue BL";1;2;1;1;2;1;1;3;2;1;1;3;2;3;2;3;3;4;2;2;1;3;5;1;1;2;4;3;3;3;1;1;1;1;1;2;3;2;3;3;2;2;2;1;1;1;3;1;1;1;1;2;2;2;3;3;4;4;2;2;2;4;4;0;0;0;1;0;1;1;0;0;0;0;0;5;5;1;51;2;2;2;2;3;6;6;1;1;2;2;7;2;4;4;3;2;5;1
1;7;1;2;0;2;5;3;2;2;2;3;2;2;3;2;1;68;4;"Neue BL";1;1;1;1;1;2;1;3;2;2;2;3;3;2;2;4;3;4;2;2;1;1;3;1;1;3;3;2;2;1;1;1;1;1;1;1;4;3;4;4;1;2;2;1;1;1;1;3;1;1;2;2;2;2;4;2;5;5;1;1;2;5;3;0;0;0;0;0;1;0;0;1;0;0;0;5;7;4;83;4;4;4;3;2;1;4;1;1;2;2;5;2;3;1;2;2;5;3
1;7;1;2;0.5;2;2;3;3;1;1;2;2;2;2;2;2;51;3;"Alte BL";1;2;1;1;1;2;1;2;2;2;2;1;1;2;3;3;3;4;1;1;1;2;3;1;1;3;4;4;3;2;1;1;3;1;1;1;3;2;5;3;1;2;2;1;1;1;1;3;1;1;2;1;2;2;3;1;2;2;2;1;4;1;3;0;0;1;0;0;0;0;0;0;0;1;0;3;3;2;32;3;2;4;4;1;1;5;5;1;5;3;7;2;4;3;3;2;9;3
1;7;1;1;0.5;2;5;2;3;1;1;2;3;2;2;1;1;54;3;"Alte BL";1;1;1;1;2;3;2;3;3;3;3;2;1;2;3;2;2;3;1;2;1;3;3;1;1;1;3;2;2;2;1;1;1;1;1;1;4;2;2;4;2;1;2;1;1;1;2;3;1;1;2;2;2;2;3;3;3;3;2;1;1;4;2;0;0;1;0;0;0;0;0;0;0;0;0;3;3;1;63;4;3;3;3;3;3;6;4;1;2;2;7;2;4;2;2;2;7;1
1;6;1;1;1;2;3;4;3;1;1;2;2;2;2;2;1;45;3;"Alte BL";2;1;2;2;2;2;1;2;2;2;2;3;3;3;3;3;2;3;2;1;1;1;4;1;1;4;4;2;3;3;1;1;2;1;1;2;3;2;5;5;1;2;2;1;1;1;4;3;2;1;2;2;2;2;2;2;4;3;1;2;2;5;5;0;0;0;0;0;0;0;0;0;1;0;0;5;7;2;25;2;3;3;2;3;6;6;1;1;4;2;7;2;1;3;3;2;7;6
1;5;1;2;0;1;2;4;3;2;2;2;2;2;2;2;1;26;1;"Alte BL";2;2;2;2;1;1;1;1;1;1;1;1;3;3;3;2;3;3;1;1;2;2;6;1;1;3;4;1;2;1;1;1;1;1;2;2;3;2;4;3;1;2;2;1;1;1;4;2;1;1;2;2;2;2;2;2;3;2;1;1;1;2;5;0;0;0;0;0;0;0;0;0;1;0;0;5;7;1;23;1;3;3;4;4;1;5;5;1;1;1;4;1;1;2;1;2;6;6
1;7;1;1;6;2;1;4;3;2;2;3;2;1;2;2;2;83;5;"Alte BL";1;2;1;1;2;2;1;2;2;2;2;2;1;3;3;2;2;3;2;1;1;3;5;1;1;2;3;2;2;1;1;1;1;2;1;1;5;3;5;3;1;2;2;1;2;1;3;1;1;1;2;2;2;2;5;5;5;4;1;1;4;5;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;4;83;3;3;4;4;3;3;6;3;1;1;1;7;2;2;2;1;2;4;6
